Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling Rate
07/07/2022,US DOLLAR,2022,July,413.83,414.83,415.83
07/06/2022,US DOLLAR,2022,July,413.76,414.76,415.76
07/05/2022,US DOLLAR,2022,July,413.83,414.83,415.83
07/04/2022,US DOLLAR,2022,July,413.8,414.8,415.8
07/01/2022,US DOLLAR,2022,July,413.86,414.86,415.86
6/30/2022,US DOLLAR,2022,June,413.72,414.72,415.72
6/29/2022,US DOLLAR,2022,June,413.77,414.77,415.77
6/28/2022,US DOLLAR,2022,June,413.6,414.6,415.6
6/27/2022,US DOLLAR,2022,June,413.64,414.64,415.64
6/24/2022,US DOLLAR,2022,June,414.5,415,415.5
6/23/2022,US DOLLAR,2022,June,414.49,414.99,415.49
6/22/2022,US DOLLAR,2022,June,414.59,415.09,415.59
6/21/2022,US DOLLAR,2022,June,414.65,415.15,415.65
6/20/2022,US DOLLAR,2022,June,414.75,415.25,415.75
6/17/2022,US DOLLAR,2022,June,414.82,415.32,415.82
6/16/2022,US DOLLAR,2022,June,414.87,415.37,415.87
6/15/2022,US DOLLAR,2022,June,413.79,414.79,415.79
6/14/2022,US DOLLAR,2022,June,414.72,415.22,415.72
06/09/2022,US DOLLAR,2022,June,414.63,415.13,415.63
06/08/2022,US DOLLAR,2022,June,414.63,415.13,415.63
06/07/2022,US DOLLAR,2022,June,414.63,415.13,415.63
06/06/2022,US DOLLAR,2022,June,414.63,415.13,415.63
06/03/2022,US DOLLAR,2022,June,413.63,414.63,415.63
06/02/2022,US DOLLAR,2022,June,414.62,415.12,415.62
06/01/2022,US DOLLAR,2022,June,414.58,415.08,415.58
5/31/2022,US DOLLAR,2022,May,414.65,415.15,415.65
5/30/2022,US DOLLAR,2022,May,414.57,415.07,415.57
5/27/2022,US DOLLAR,2022,May,414.63,415.13,415.63
5/26/2022,US DOLLAR,2022,May,414.72,415.22,415.72
5/25/2022,US DOLLAR,2022,May,414.72,415.22,415.72
5/24/2022,US DOLLAR,2022,May,414.68,415.18,415.68
5/23/2022,US DOLLAR,2022,May,414.68,415.18,415.68
5/20/2022,US DOLLAR,2022,May,414.58,415.08,415.58
5/19/2022,US DOLLAR,2022,May,414.62,415.12,415.62
5/18/2022,US DOLLAR,2022,May,414.62,415.12,415.62
5/17/2022,US DOLLAR,2022,May,414.68,415.18,415.68
5/16/2022,US DOLLAR,2022,May,414.75,415.25,415.75
5/13/2022,US DOLLAR,2022,May,413.74,414.74,415.74
05/12/2022,US DOLLAR,2022,May,413.76,414.76,415.76
05/11/2022,US DOLLAR,2022,May,413.83,414.83,415.83
05/09/2022,US DOLLAR,2022,May,413.83,414.83,415.83
05/06/2022,US DOLLAR,2022,May,414.8,415.3,415.8
05/05/2022,US DOLLAR,2022,May,414.69,415.19,415.69
05/04/2022,US DOLLAR,2022,May,414.62,415.12,415.62
4/29/2022,US DOLLAR,2022,April,414.69,415.19,415.69
4/28/2022,US DOLLAR,2022,April,414.76,415.26,415.76
4/27/2022,US DOLLAR,2022,April,414.83,415.33,415.83
4/26/2022,US DOLLAR,2022,April,414.92,415.42,415.92
4/25/2022,US DOLLAR,2022,April,414.98,415.48,415.98
4/22/2022,US DOLLAR,2022,April,414.08,415.08,416.08
4/21/2022,US DOLLAR,2022,April,415.08,415.58,416.08
4/20/2022,US DOLLAR,2022,April,415.08,415.58,416.08
4/19/2022,US DOLLAR,2022,April,415,415.5,416
4/14/2022,US DOLLAR,2022,April,414,415,416
4/13/2022,US DOLLAR,2022,April,414.03,415.03,416.03
04/12/2022,US DOLLAR,2022,April,414.08,415.08,416.08
04/11/2022,US DOLLAR,2022,April,414.09,415.09,416.09
04/08/2022,US DOLLAR,2022,April,415.12,415.62,416.12
04/07/2022,US DOLLAR,2022,April,415.15,415.65,416.15
04/06/2022,US DOLLAR,2022,April,415.15,415.65,416.15
04/04/2022,US DOLLAR,2022,April,415.22,415.72,416.22
04/01/2022,US DOLLAR,2022,April,415.22,415.72,416.22
3/30/2022,US DOLLAR,2022,March,415.25,415.75,416.25
3/29/2022,US DOLLAR,2022,March,415.22,415.72,416.22
3/29/2022,US DOLLAR,2022,March,415.25,415.75,416.25
3/28/2022,US DOLLAR,2022,March,415.25,415.75,416.25
3/25/2022,US DOLLAR,2022,March,415.23,415.73,416.23
3/24/2022,US DOLLAR,2022,March,415.25,415.75,416.25
3/23/2022,US DOLLAR,2022,March,415.25,415.75,416.25
3/22/2022,US DOLLAR,2022,March,415.25,415.75,416.25
3/21/2022,US DOLLAR,2022,March,415.32,415.82,416.32
3/18/2022,US DOLLAR,2022,March,415.39,415.89,416.39
3/17/2022,US DOLLAR,2022,March,415.42,415.92,416.42
3/16/2022,US DOLLAR,2022,March,415.42,415.92,416.42
3/15/2022,US DOLLAR,2022,March,415.42,415.92,416.42
3/14/2022,US DOLLAR,2022,March,415.45,415.95,416.45
03/11/2022,US DOLLAR,2022,March,415.3,415.8,416.3
03/10/2022,US DOLLAR,2022,March,415.34,415.84,416.34
03/09/2022,US DOLLAR,2022,March,415.34,415.84,416.34
03/08/2022,US DOLLAR,2022,March,415.34,415.84,416.34
03/07/2022,US DOLLAR,2022,March,415.34,415.84,416.34
03/04/2022,US DOLLAR,2022,March,415.27,415.77,416.27
03/03/2022,US DOLLAR,2022,March,415.41,415.91,416.41
03/02/2022,US DOLLAR,2022,March,415.36,415.86,416.36
03/01/2022,US DOLLAR,2022,March,415.46,415.96,416.46
2/28/2022,US DOLLAR,2022,February,415.59,416.09,416.59
2/25/2022,US DOLLAR,2022,February,415.52,416.02,416.52
2/24/2022,US DOLLAR,2022,February,415.39,415.89,416.39
2/23/2022,US DOLLAR,2022,February,415.39,415.89,416.39
2/22/2022,US DOLLAR,2022,February,415.39,415.89,416.39
2/21/2022,US DOLLAR,2022,February,415.39,415.89,416.39
2/18/2022,US DOLLAR,2022,February,415.37,415.87,416.37
2/17/2022,US DOLLAR,2022,February,415.37,415.87,416.37
2/16/2022,US DOLLAR,2022,February,415.37,415.87,416.37
2/15/2022,US DOLLAR,2022,February,415.31,415.81,416.31
2/14/2022,US DOLLAR,2022,February,415.31,415.81,416.31
02/11/2022,US DOLLAR,2022,February,415.91,416.41,416.91
02/10/2022,US DOLLAR,2022,February,416.51,417.01,417.51
02/09/2022,US DOLLAR,2022,February,416.37,416.87,417.37
02/08/2022,US DOLLAR,2022,February,416.25,416.75,417.25
02/07/2022,US DOLLAR,2022,February,416.05,416.55,417.05
02/04/2022,US DOLLAR,2022,February,415.88,416.38,416.88
02/03/2022,US DOLLAR,2022,February,415.71,416.21,416.71
02/02/2022,US DOLLAR,2022,February,415.54,416.04,416.54
02/01/2022,US DOLLAR,2022,February,415.36,415.86,416.36
1/31/2022,US DOLLAR,2022,January,414.26,415.26,416.26
1/28/2022,US DOLLAR,2022,January,415.33,415.83,416.33
1/27/2022,US DOLLAR,2022,January,415.16,415.66,416.16
1/26/2022,US DOLLAR,2022,January,414.99,415.49,415.99
1/25/2022,US DOLLAR,2022,January,414.82,415.32,415.82
1/24/2022,US DOLLAR,2022,January,414.64,415.14,415.64
1/21/2022,US DOLLAR,2022,January,414.53,415.03,415.53
1/20/2022,US DOLLAR,2022,January,414.45,414.95,415.45
1/19/2022,US DOLLAR,2022,January,414.3,414.8,415.3
1/18/2022,US DOLLAR,2022,January,414.17,414.67,415.17
1/17/2022,US DOLLAR,2022,January,414,414.5,415
1/14/2022,US DOLLAR,2022,January,413.89,414.39,414.89
1/13/2022,US DOLLAR,2022,January,413.79,414.29,414.79
01/12/2022,US DOLLAR,2022,January,413.61,414.11,414.61
01/11/2022,US DOLLAR,2022,January,413.44,413.94,414.44
01/10/2022,US DOLLAR,2022,January,413.26,413.76,414.26
01/07/2022,US DOLLAR,2022,January,413.14,413.64,414.14
01/06/2022,US DOLLAR,2021,January,412.96,413.46,413.96
01/05/2022,US DOLLAR,2022,January,412.79,413.29,413.79
01/04/2022,US DOLLAR,2022,January,412.67,413.17,413.67
12/31/2021,US DOLLAR,2021,December,412.49,412.99,413.49
12/30/2021,US DOLLAR,2021,December,411.7,412.2,412.7
12/29/2021,US DOLLAR,2021,December,411,411.5,412
12/24/2021,US DOLLAR,2021,December,410.95,411.45,411.95
12/23/2021,US DOLLAR,2021,December,410.9,411.4,411.9
12/22/2021,US DOLLAR,2021,December,410.93,411.43,411.93
12/21/2021,US DOLLAR,2021,December,410.92,411.42,411.92
12/20/2021,US DOLLAR,2021,December,410.91,411.41,411.91
12/17/2021,US DOLLAR,2021,December,409.91,410.91,411.91
12/16/2021,US DOLLAR,2021,December,409.91,410.91,411.91
12/15/2021,US DOLLAR,2021,December,409.83,410.83,411.83
12/14/2021,US DOLLAR,2021,December,409.73,410.73,411.73
12/13/2021,US DOLLAR,2021,December,409.72,410.72,411.72
12/10/2021,US DOLLAR,2021,December,409.76,410.76,411.76
12/09/2021,US DOLLAR,2021,December,409.75,410.75,411.75
12/08/2021,US DOLLAR,2021,December,409.74,410.74,411.74
12/07/2021,US DOLLAR,2021,December,409.74,410.74,411.74
12/06/2021,US DOLLAR,2021,December,409.73,410.73,411.73
12/03/2021,US DOLLAR,2021,December,409.74,410.74,411.74
12/02/2021,US DOLLAR,2021,December,409.73,410.73,411.73
12/01/2021,US DOLLAR,2021,December,409.7,410.7,411.7
11/30/2021,US DOLLAR,2021,November,409.66,410.66,411.66
11/29/2021,US DOLLAR,2021,November,409.64,410.64,411.64
11/26/2021,US DOLLAR,2021,November,409.64,410.64,411.64
11/25/2021,US DOLLAR,2021,November,409.64,410.64,411.64
11/24/2021,US DOLLAR,2021,November,409.63,410.63,411.63
11/23/2021,US DOLLAR,2021,November,409.64,410.64,411.64
11/22/2021,US DOLLAR,2021,November,409.63,410.63,411.63
11/19/2021,US DOLLAR,2021,November,410.59,411.09,411.59
11/18/2021,US DOLLAR,2020,November,410.59,411.09,411.59
11/17/2021,US DOLLAR,2021,November,410.57,411.07,411.57
11/16/2021,US DOLLAR,2021,November,410.54,411.04,411.54
11/15/2021,US DOLLAR,2021,November,410.43,410.93,411.43
11/12/2021,US DOLLAR,2021,November,410.42,410.92,411.42
11/11/2021,US DOLLAR,2021,November,410.39,410.89,411.39
11/10/2021,US DOLLAR,2021,November,410.37,410.87,411.37
11/09/2021,US DOLLAR,2021,November,410.34,410.84,411.34
11/08/2021,US DOLLAR,2021,November,410.32,410.82,411.32
11/05/2021,US DOLLAR,2021,November,410.29,410.79,411.29
11/04/2021,US DOLLAR,2021,November,410.27,410.77,411.27
11/03/2021,US DOLLAR,2021,November,410.24,410.74,411.24
11/02/2021,US DOLLAR,2021,November,410.21,410.71,411.21
11/01/2021,US DOLLAR,2021,November,410.17,410.67,411.17
10/29/2021,US DOLLAR,2021,October,410.09,410.59,411.09
10/28/2021,US DOLLAR,2021,October,410.06,410.56,411.06
10/27/2021,US DOLLAR,2021,October,410.02,410.52,411.02
10/26/2021,US DOLLAR,2021,October,410.02,410.52,411.02
10/25/2021,US DOLLAR,2021,October,409.99,410.49,410.99
10/22/2021,US DOLLAR,2021,October,409.96,410.46,410.96
10/21/2021,US DOLLAR,2021,October,409.91,410.41,410.91
10/20/2021,US DOLLAR,2021,October,409.89,410.39,410.89
10/18/2021,US DOLLAR,2021,October,409.89,410.39,410.89
10/15/2021,US DOLLAR,2021,October,409.91,410.41,410.91
10/14/2021,US DOLLAR,2021,October,409.91,410.41,410.91
10/13/2021,US DOLLAR,2021,October,409.87,410.37,410.87
10/12/2021,US DOLLAR,2021,October,409.87,410.37,410.87
10/11/2021,US DOLLAR,2021,October,409.87,410.37,410.87
10/08/2021,US DOLLAR,2021,October,409.81,410.31,410.81
10/07/2021,US DOLLAR,2021,October,409.81,410.31,410.81
10/06/2021,US DOLLAR,2021,October,409.81,410.31,410.81
10/05/2021,US DOLLAR,2021,October,409.82,410.32,410.82
10/04/2021,US DOLLAR,2021,October,409.83,410.33,410.83
9/30/2021,US DOLLAR,2021,September,409.8,410.3,410.8
9/29/2021,US DOLLAR,2021,September,409.8,410.3,410.8
9/28/2021,US DOLLAR,2021,September,408.77,409.77,410.77
9/27/2021,US DOLLAR,2021,September,408.71,409.71,410.71
9/24/2021,US DOLLAR,2021,September,409.7,410.2,410.7
9/23/2021,US DOLLAR,2021,September,409.67,410.17,410.67
9/22/2021,US DOLLAR,2021,September,409.63,410.13,410.63
9/21/2021,US DOLLAR,2021,September,409.6,410.1,410.6
9/20/2021,US DOLLAR,2021,September,409.59,410.09,410.59
9/17/2021,US DOLLAR,2021,September,409.58,410.08,410.58
9/16/2021,US DOLLAR,2021,September,409.57,410.07,410.57
9/15/2021,US DOLLAR,2021,September,409.55,410.05,410.55
9/14/2021,US DOLLAR,2021,September,409.54,410.04,410.54
9/13/2021,US DOLLAR,2021,September,409.51,410.01,410.51
09/10/2021,US DOLLAR,2021,September,409.48,409.98,410.48
09/09/2021,US DOLLAR,2021,September,409.47,409.97,410.47
09/08/2021,US DOLLAR,2021,September,409.45,409.95,410.45
09/07/2021,US DOLLAR,2021,September,409.42,409.92,410.42
09/06/2021,US DOLLAR,2021,September,409.41,409.91,410.41
09/03/2021,US DOLLAR,2021,September,409.4,409.9,410.4
09/02/2021,US DOLLAR,2021,September,409.37,409.87,410.37
09/01/2021,US DOLLAR,2021,September,409.35,409.85,410.35
8/31/2021,US DOLLAR,2021,August,409.32,409.82,410.32
8/30/2021,US DOLLAR,2021,August,409.29,409.79,410.29
8/27/2021,US DOLLAR,2021,August,409.26,409.76,410.26
8/26/2021,US DOLLAR,2021,August,409.23,409.73,410.23
8/25/2021,US DOLLAR,2021,August,409.21,409.71,410.21
8/24/2021,US DOLLAR,2021,August,409.19,409.69,410.19
8/23/2021,US DOLLAR,2021,August,409.16,409.66,410.16
8/20/2021,US DOLLAR,2021,August,409.13,409.63,410.13
8/19/2021,US DOLLAR,2021,August,409.13,409.63,410.13
8/18/2021,US DOLLAR,2021,August,409.1,409.6,410.1
8/17/2021,US DOLLAR,2021,August,409.11,409.61,410.11
8/16/2021,US DOLLAR,2021,August,409.11,409.61,410.11
8/13/2021,US DOLLAR,2021,August,409.11,409.61,410.11
08/12/2021,US DOLLAR,2021,August,409.12,409.62,410.12
08/11/2021,US DOLLAR,2021,August,409.12,409.62,410.12
08/10/2021,US DOLLAR,2021,August,409.12,409.62,410.12
08/09/2021,US DOLLAR,2021,August,409.12,409.62,410.12
08/06/2021,US DOLLAR,2021,August,409.11,409.61,410.11
08/05/2021,US DOLLAR,2021,August,409.11,409.61,410.11
08/04/2021,US DOLLAR,2021,August,409.11,409.61,410.11
08/03/2021,US DOLLAR,2021,August,409.11,409.61,410.11
08/02/2021,US DOLLAR,2021,August,409.1,409.6,410.1
7/30/2021,US DOLLAR,2021,July,409.1,409.6,410.1
7/29/2021,US DOLLAR,2021,July,409.16,409.66,410.16
7/28/2021,US DOLLAR,2021,July,409.16,409.66,410.16
7/27/2021,US DOLLAR,2021,July,409.16,409.66,410.16
7/26/2021,US DOLLAR,2021,July,409.15,409.65,410.15
7/22/2021,US DOLLAR,2021,July,409.14,409.64,410.14
7/19/2021,US DOLLAR,2021,July,409.13,409.63,410.13
7/16/2021,US DOLLAR,2021,July,409.13,409.63,410.13
7/15/2021,US DOLLAR,2021,July,409.13,409.63,410.13
7/14/2021,US DOLLAR,2021,July,409.13,409.63,410.13
7/13/2021,US DOLLAR,2021,July,409.11,409.61,410.11
07/12/2021,US DOLLAR,2021,July,409.11,409.61,410.11
07/09/2021,US DOLLAR,2021,July,409.11,409.61,410.11
07/08/2021,US DOLLAR,2021,July,409.11,409.61,410.11
07/07/2021,US DOLLAR,2021,July,409.12,409.62,410.12
07/06/2021,US DOLLAR,2021,July,409.12,409.62,410.12
07/05/2021,US DOLLAR,2021,July,409.13,409.63,410.13
07/02/2021,US DOLLAR,2021,July,409.16,409.66,410.16
07/01/2021,US DOLLAR,2021,July,409.16,409.66,410.16
6/30/2021,US DOLLAR,2021,June,409.16,409.66,410.16
6/29/2021,US DOLLAR,2021,June,409.16,409.66,410.16
6/28/2021,US DOLLAR,2021,June,409.16,409.66,410.16
6/25/2021,US DOLLAR,2021,June,409.17,409.67,410.17
6/24/2021,US DOLLAR,2021,June,409.17,409.67,410.17
6/23/2021,US DOLLAR,2021,June,409.18,409.68,410.18
6/22/2021,US DOLLAR,2021,June,409.19,409.69,410.19
6/21/2021,US DOLLAR,2021,June,409.2,409.7,410.2
6/18/2021,US DOLLAR,2021,June,409.2,409.7,410.2
6/17/2021,US DOLLAR,2021,June,409.21,409.71,410.21
6/16/2021,US DOLLAR,2021,June,409.22,409.72,410.22
6/15/2021,US DOLLAR,2021,June,409.12,409.62,410.12
06/11/2021,US DOLLAR,2021,June,409.13,409.63,410.13
06/10/2021,US DOLLAR,2021,June,409.13,409.63,410.13
06/09/2021,US DOLLAR,2021,June,409.14,409.64,410.14
06/08/2021,US DOLLAR,2021,June,409.15,409.65,410.15
06/07/2021,US DOLLAR,2021,June,409.17,409.67,410.17
06/04/2021,US DOLLAR,2021,June,409.18,409.68,410.18
06/03/2021,US DOLLAR,2021,June,409.2,409.7,410.2
06/02/2021,US DOLLAR,2021,June,409.22,409.72,410.22
06/01/2021,US DOLLAR,2021,June,409,409.5,410
5/31/2021,US DOLLAR,2021,May,409,409.5,410
5/28/2021,US DOLLAR,2021,May,409,409.5,410
5/27/2021,US DOLLAR,2021,May,409,409.5,410
5/26/2021,US DOLLAR,2021,May,409.25,409.75,410.25
5/25/2021,US DOLLAR,2021,May,409.25,409.75,410.25
5/24/2021,US DOLLAR,2021,May,409.25,409.75,410.25
5/21/2021,US DOLLAR,2021,May,410,410.5,411
05/10/2021,US DOLLAR,2021,May,379,379.5,380
05/07/2021,US DOLLAR,2020,May,379,379.5,380
05/06/2021,US DOLLAR,2021,May,379,379.5,380
05/05/2021,US DOLLAR,2021,May,379,379.5,380
05/04/2021,US DOLLAR,2021,May,379,379.5,380
4/30/2021,US DOLLAR,2021,April,379,379.5,380
4/29/2021,US DOLLAR,2021,April,379,379.5,380
4/28/2021,US DOLLAR,2021,April,379,379.5,380
4/27/2021,US DOLLAR,2021,April,379,379.5,380
4/26/2021,US DOLLAR,2021,April,379,379.5,380
4/23/2021,US DOLLAR,2021,April,379,379.5,380
4/22/2021,US DOLLAR,2021,April,379,379.5,380
4/21/2021,US DOLLAR,2021,April,379,379.5,380
4/20/2021,US DOLLAR,2021,April,379,379.5,380
4/19/2021,US DOLLAR,2021,April,379,379.5,380
4/16/2021,US DOLLAR,2021,April,379,379.5,380
4/15/2021,US DOLLAR,2021,April,379,379.5,380
4/14/2021,US DOLLAR,2021,April,379,379.5,380
4/13/2021,US DOLLAR,2021,April,379,379.5,380
04/12/2021,US DOLLAR,2021,April,379,379.5,380
04/09/2021,US DOLLAR,2021,April,379,379.5,380
04/08/2021,US DOLLAR,2021,April,379,379.5,380
04/07/2021,US DOLLAR,2021,April,379,379.5,380
04/06/2021,US DOLLAR,2021,April,379,379.5,380
3/31/2021,US DOLLAR,2021,March,379,379.5,380
3/30/2021,US DOLLAR,2021,March,379,379.5,380
3/29/2021,US DOLLAR,2021,March,379,379.5,380
3/26/2021,US DOLLAR,2021,March,379,379.5,380
3/25/2021,US DOLLAR,2021,March,379,379.5,380
3/24/2021,US DOLLAR,2021,March,379,379.5,380
3/23/2021,US DOLLAR,2021,March,379,379.5,380
3/22/2021,US DOLLAR,2021,March,379,379.5,380
3/19/2021,US DOLLAR,2021,March,379,379.5,380
3/18/2021,US DOLLAR,2021,March,379,379.5,380
3/17/2021,US DOLLAR,2021,March,379,379.5,380
3/16/2021,US DOLLAR,2021,March,379,379.5,380
3/15/2021,US DOLLAR,2021,March,379,379.5,380
03/12/2021,US DOLLAR,2021,March,379,379.5,380
03/11/2021,US DOLLAR,2021,March,379,379.5,380
03/10/2021,US DOLLAR,2021,March,379,379.5,380
03/09/2021,US DOLLAR,2021,March,379,379.5,380
03/08/2021,US DOLLAR,2021,March,379,379.5,380
03/05/2021,US DOLLAR,2021,March,379,379.5,380
03/04/2021,US DOLLAR,2021,March,379,379.5,380
03/03/2021,US DOLLAR,2021,March,379,379.5,380
03/02/2021,US DOLLAR,2021,March,379,379.5,380
03/01/2021,US DOLLAR,2021,March,379,379.5,380
2/26/2021,US DOLLAR,2021,February,379,379.5,380
2/25/2021,US DOLLAR,2021,February,379,379.5,380
